"","plot","myc","mean_offset","median_offset","amplitude_offset","change_ratio","offset_maxima","offset_minima"
"1",2,"EMF",-0.304190024053678,-0.3836666666667,-0.885666666666616,0.492957746478873,-0.943233333333335,0.0726666666666649
"2",4,"EMF",-0.162839087000506,-0.229916666666651,-0.874499999999948,0.54307116104869,-0.619187500000024,0.302833333333336
"3",8,"AMF",-0.178634724857685,-0.303166666666698,-0.783699999999978,0.520833333333333,-0.618991666666691,0.152200000000001
"4",17,"AMF",0.0696822541966426,-0.339166666666699,-0.0211666666665984,0.476190476190476,0.279833333333297,-0.0939999999999994
"5",19,"AMF",-0.192615370018975,-0.219666666666697,-1.22516666666661,0.512820512820511,-0.768991666666686,0.402200000000001
"6",20,"EMF",-0.336521425862723,-0.385999999999999,-1.22383333333327,0.538756821084408,-0.924383333333356,0.208466666666666
"7",22,"EMF",-0.401603629236217,-0.499416666666651,-1.5512083333333,0.454545454545456,-1.26918750000002,0.180479166666663
"8",27,"EMF",-0.0873229562136169,-0.199083333333351,-0.863749999999943,0.527638190954773,-0.533641666666675,0.101566666666667
"9",31,"AMF",-0.164147958538744,-0.2596666666667,-0.823833333333273,0.502755343696866,-0.569383333333359,0.253466666666668
"10",33,"AMF",-0.152283585858586,-0.552749999999999,0.580666666666723,0.534883720930233,1.08002916666663,-0.394633333333333
"11",46,"AMF",-0.0877567020738493,-0.19766666666665,-0.462583333333274,0.535714285714288,-0.275437500000024,0.259083333333335
"12",47,"EMF",-0.239550183289091,-0.314833333333301,-1.11383333333329,0.523684866616803,-0.674383333333356,0.203466666666666
"13",50,"AMF",-0.16440077254306,-0.53816666666665,-0.304666666666641,0.452488687782805,0.131595833333314,-0.23845
"14",56,"EMF",-0.304255087852358,-0.450666666666699,-1.02383333333328,0.488467656415694,-0.919383333333361,0.00846666666666707
"15",61,"AMF",0.130738672220119,-0.403,0.6288333333334,0.432173491975651,0.829833333333298,-0.0939999999999994
"16",68,"AMF",-0.18715101010101,-0.3960833333333,-0.369333333333277,0.545454545454544,-0.27122083333337,-0.047133333333333
"17",70,"EMF",-0.231888678051866,-0.351666666666702,-0.813166666666604,0.496092118608675,-0.584050000000005,-0.00529999999999831
"18",72,"EMF",-0.359976118271418,-0.4821666666667,-1.30816666666661,0.504587155963304,-0.969579166666698,0.250349999999999
"19",76,"EMF",-0.156406937073541,-0.353750000000002,-0.315666666666608,0.547263681592041,-0.17332916666669,-0.145900000000001
"20",77,"AMF",-0.198119255601975,-0.344000000000001,-0.806499999999957,0.515505115089516,-0.618600000000022,0.200933333333333
