"index","a_marg_r2","v_marg_r2","e_marg_r2","err_marg_r2","ave_marg_r2","ave_site_r2"
"mean_offset","0.99966","0","1e-05","0","0.99966","0"
"median_offset","0.9993","0.00029","0","0","0.99959","0"
"equilibrium","0.00012","0","0","3e-05","0.00015","0"
"sd_offset","0","0.65952","0.12862","0.00503","0.79315","0.00253"
"sd_offset_mean_daily","0","0.7572","0.11732","0.00637","0.88089","0.00086"
"amplitude_offset.95","0","0.87337","0.01728","0.00559","0.89623","0.00195"
"amplitude_offset.975","0","0.68306","0.21413","0.00683","0.90401","0.00086"
"amplitude_offset_mean_daily","0","0.83244","0.0301","0.04237","0.9049","0.00364"
"CV_offset","0.28373","0.14034","0.0412","0.00348","0.46872","0.03203"
"slope","0","0.52874","0.12575","0","0.65447","0"
"offset_of_maxima.95","0.77501","0.19342","0.00313","0.00062","0.97218","4e-04"
"offset_of_maxima.975","0.62598","0.25741","0.07301","0.00158","0.95799","0.00048"
"offset_of_maxima1.00","0.16931","0.24062","0.403","0.00851","0.82141","0.00083"
"offset_of_maxima_mean_daily.95","0.84526","0.13144","0.00505","0.0027","0.98445","0.00037"
"offset_of_maxima_mean_daily.975","0.83328","0.14074","0.00585","0.00404","0.98391","0.00044"
"offset_of_maxima_mean_daily1.00","0.82058","0.15024","0.00673","0.00575","0.9833","0.00054"
"p95_daily_maxima_offset","0.64388","0.17525","0.03766","0.02598","0.88277","0.01657"
"offset_of_minima.05","0.8689","0.11164","0.00283","0.00141","0.98478","0.00092"
"offset_of_minima.025","0.75531","0.15766","0.05642","0.00268","0.97206","0.00079"
"offset_of_minima.00","0.0753","0.09743","0.20755","0.00476","0.38502","0.00042"
"offset_of_minima_mean_daily.05","0.86573","0.1112","0.00284","0.00447","0.98424","0.00052"
"offset_of_minima_mean_daily.025","0.85401","0.11943","0.00318","0.00628","0.9829","0.00066"
"offset_of_minima_mean_daily.00","0.84147","0.12785","0.00355","0.00854","0.98141","0.00084"
"p5_daily_minima_offset","0.7364","0.13986","0.01643","0.03665","0.92934","0.00787"
