index,a_marg_r2,v_marg_r2,e_marg_r2,ave_marg_r2,ave_site_r2
mean_offset,0.99997,0,0,0.99997,0
median_offset,0.99966,0.00016,0,0.99982,0
sum_of_offsets,0.85822,0,0,0.85821,0
equilibrium,0.00015,0,0,0.00015,0
sd_offset,0,0.69294,0.0914,0.78433,0.00235
sd_offset_mean_daily,0,0.74635,0.0852,0.83155,0.00195
amplitude_offset.95,0,0.86015,0,0.86014,0.00198
amplitude_offset.975,0,0.67262,0.18253,0.85515,0.00075
amplitude_offset_mean_daily,0,0.82348,0.03018,0.85365,0
amplitude_ratio.95,0,0.86385,0,0.86385,0.00123
amplitude_ratio.975,0,0.72933,0.11094,0.84027,0.00193
CV_offset,0.34319,0.11581,0.00838,0.46738,0.02054
CV_offset_mean_daily,0,0,0.00122,0.00123,0.01474
CV_ratio,0.55297,0.0402,0.00413,0.59729,0.0024
slope,0,0.65383,0.07669,0.73052,0
change_ratio,0,1,0,1,0
correlation_micro_macro,0,0.04893,0.00932,0.05825,0.17886
offset_of_maxima.95,0.94554,0.04618,0,0.99172,0.0001
offset_of_maxima.975,0.89589,0.06958,0.01749,0.98296,6E-05
offset_of_maxima1.00,0.51805,0.14546,0.23869,0.9022,0.00076
offset_of_maxima_mean_daily.95,0.9639,0.02959,0.00101,0.9945,0
offset_of_maxima_mean_daily.975,0.96046,0.03253,0.00127,0.99426,0
offset_of_maxima_mean_daily1.00,0.95677,0.03565,0.00157,0.99399,0
p95_daily_maxima_offset,0.8897,0.05215,0.01148,0.95333,0.01277
offset_of_minima.05,0.96073,0.03203,0,0.99276,0.0002
offset_of_minima.025,0.92204,0.049,0.01453,0.98557,0.00015
offset_of_minima.00,0.37357,0.0935,0.19026,0.65733,0
offset_of_minima_mean_daily.05,0.96852,0.02537,0.00063,0.99452,0
offset_of_minima_mean_daily.025,0.96542,0.02793,0.00076,0.99411,0
offset_of_minima_mean_daily.00,0.96211,0.03066,0.0009,0.99367,0
p5_daily_minima_offset,0.92092,0.03948,0.00628,0.96668,0.00885
